Company Name,Brand,Website,Domain
Honeycrisp, Brand, http://www.honeycrispapples.com/,@honeycrispapples.com
Chapple Orchards, Brand, http://www.chappleorchards.com/,@chappleorchards.com
Rainier Fruit Co., Brand, http://rainierfruit.com/,@rainierfruit.com
Duckwall Fruit Co., Brand, http://duckwallapple.com/,@duckwallapple.com
Apple D’Or, Brand, http://www.appledor.com/,@appledor.com
Smith Family Farms Inc., Brand, http://www.smithfamilyfarmsinc.com/,@smithfamilyfarmsinc.com
Nature Fresh Farms, Brand, http://www.naturefresh.ca/,@naturefresh.ca
Dave Fisher’s Orchard, Brand, http://www.davefsorchard.com/,@davefsorchard.com
DiMichaelangelo Orchards, Brand, http://www.orchardfruit.com/,@orchardfruit.com
Skagit Apples, Brand, http://www.skagitapples.com/,@skagitapples.com
Apples of New York, Brand, http://www.applesofnewyork.com/,@applesofnewyork.com
John Carlson & Sons, Brand, http://johncarlsonands,@johncarlsonands
Olive  Cocoa, Red Delicious, https://www.oliveandcocoa.com,@oliveandcocoa.com
Okanagan Specialty Fruits, Ambrosia, https://www.okspecialtyfruits.com,@okspecialtyfruits.com
Sunkist, Red Delicious, https://sunkist.com,@sunkist.com
Huari, Fuji, http://www.huarifruit.cl ,@huarifruit.cl
Stemilt, Honeycrisp, https://www.stemilt.com,@stemilt.com
Sage Fruit, Cameo, https://www.sagefruit.com,@sagefruit.com
Chelan Fresh, Red Delicious, https://chelanfresh.com,@chelanfresh.com
Trinity Fruit, Pink Lady, http://trinityfruit.com,@trinityfruit.com
Indian Summer Fruits, Golden Delicious, http://indiansummerfruits.com,@indiansummerfruits.com
Georgia Apple, Granny Smith, http://www.georgiaapple.com,@georgiaapple.com
Growers Express, Gala, https://www.gveggiestyle.com,@gveggiestyle.com
