Company Name,Brand,Website,Domain
American Bridge 21st Century, Super PAC, www.americanbridgepac.org ,@americanbridgepac.org
Every Citizen Counts, Nonprofit, everycitizencounts.org,@everycitizencounts.org
Priorities USA, Super PAC, www.prioritiesusaaction.org ,@prioritiesusaaction.org
ActBlue, Nonprofit, secure.actblue.com,@secure.actblue.com
The Progressive Change Campaign Committee, Super PAC, www.boldprogressives.org,@boldprogressives.org
United We Win, Super PAC, www.unitedwewin.org,@unitedwewin.org
Wishlist PAC, Super PAC, wishlistpac.org,@wishlistpac.org
Win Justice, Super PAC, winjusticepac.org,@winjusticepac.org
Donors Trust, Nonprofit, www.donorstrust.org,@donorstrust.org
Human Rights Campaign Equality Votes, Super PAC, www.equalityvotes.org,@equalityvotes.org
Majority Forward, Nonprofit, majorityforward.org ,@majorityforward.org
Grassroots Victory Fund, Super PAC, www.grassrootsvictoryfund.com,@grassrootsvictoryfund.com
ARAMARK Corporation, Corporate, www.aramark.com,@aramark.com
Planned Parenthood, Nonprofit, www.plannedparenthoodaction.org ,@plannedparenthoodaction.org
Univision Communications Inc., Corporate, www,@www
