Company Name,Brand,Website,Domain
American Airlines, American, www.aa.com,@aa.com
Allegiant Air, Allegiant, www.allegiantair.com,@allegiantair.com
Delta Airlines, Delta, www.delta.com,@delta.com
Frontier Airlines, Frontier, www.flyfrontier.com,@flyfrontier.com
United Airlines, United, www.united.com,@united.com
Spirit Airlines, Spirit, www.spirit.com,@spirit.com
JetBlue, JetBlue, www.jetblue.com,@jetblue.com
Hawaiian Airlines, Hawaiian, www.hawaiianairlines.com,@hawaiianairlines.com
SkyWest Airlines, SkyWest, www.skywest.com,@skywest.com
Sun Country Airlines, Sun Country, www.suncountry.com,@suncountry.com
Southwest Airlines, Southwest, www.southwest.com,@southwest.com
Air Canada, Air Canada, www.aircanada.com,@aircanada.com
Virgin America, Virgin, www.virginamerica.com,@virginamerica.com
British Airways, British Airways, www.britishairways.com,@britishairways.com
Air France, Air France, www.airfrance.com,@airfrance.com
