Company Name,Brand,Website,Domain
ViacomCBS, Media & Entertainment, https://viacomcbs.com/,@viacomcbs.com
Verizon Media, Media & Technology,https://www.verizonmedia.com/,@verizonmedia.com
The Trade Desk, Advertising Technology, https://www.thetradedesk.com/,@thetradedesk.com
The Martin Agency, Advertising, Advertising,@Advertising
Starcom, Media & Technology, https://www.starcomworldwide.com/,@starcomworldwide.com
MediaCom, Advertising, Media & Technology,@Media&Technology
Havas Group, Advertising, http://www.havas.com/,@havas.com
Initiative Media, Advertising, https://www.initiative.com/,@initiative.com
IPG Mediabrands, Advertising, https://www.ipgmediabrands.com/,@ipgmediabrands.com
Mindshare, Advertising & Media Planning, https://www.mindshareworld.com/,@mindshareworld.com
GroupM, Advertising, http://www.groupm.com/,@groupm.com
Publicis Media, Advertising, https://www.publicismedia.com/,@publicismedia.com
Leo Burnett, Advertising Agency, https://www.leoburnett.com ,@leoburnett.com
BBDO, Advertising Agency, https://www.bbdo.com ,@bbdo.com
McCann WorldGroup, Advertising Agency, https://www.mccannworldgroup.com ,@mccannworldgroup.com
Ogilvy, Advertising Agency, https://www.ogilvy.com ,@ogilvy.com
DDB Worldwide, Advertising Agency, https://www.ddb.com ,@ddb.com
Publicis Worldwide, Advertising Agency, https://www.publicis.com ,@publicis.com
Wieden+Kennedy, Advertising Agency, https://www.wk.com ,@wk.com
Grey, Advertising Agency, https://www.grey.com ,@grey.com
Saatchi  Saatchi, Advertising Agency, https://www.saatchi.com ,@saatchi.com
Arnold Worldwide, Advertising Agency, https://www.arn.com ,@arn.com
YR, Advertising Agency, https://www.yr.com ,@yr.com
KBS, Advertising Agency, https://www.kbs.com ,@kbs.com
Cutwater, Advertising Agency, https://www.cutwater.com ,@cutwater.com
