Company Name,Brand,Website,Domain
JPMorgan Chase  Co., JPMC, www.jpmorganchase.com,@jpmorganchase.com
Wells Fargo  Company, Wells Fargo, www.wellsfargo.com,@wellsfargo.com
Bank of America, Bank of America, www.bankofamerica.com,@bankofamerica.com
Citigroup, Citi, www.citigroup.com,@citigroup.com
Goldman Sachs, Goldman Sachs, www.goldmansachs.com,@goldmansachs.com
Morgan Stanley, Morgan Stanley, www.morganstanley.com,@morganstanley.com
Credit Suisse, Credit Suisse, www.credit-suisse.com,@credit-suisse.com
HSBC, HSBC, www.hsbc.com,@hsbc.com
PNC Financial Services Group, PNC, www.pnc.com,@pnc.com
BBT Corporation, BB&amp;T, www.bbt.com,@bbt.com
Capital One Financial, Capital One, www.capitalone.com,@capitalone.com
TD Bank US, TD Bank, www.tdbank.com,@tdbank.com
Regions Financial Corporation, Regions Bank, www.regions.com,@regions.com
